,trimer_smiles,smiles_monomer,job_hash,md_density_trimer,md_rg_trimer,md_rg_trimer_norm,md_hov_trimer,md_hov_trimer_norm,md_heat_capacity_liquid,md_heat_capacity_liquid_norm,md_heat_capacity_gas,md_heat_capacity_gas_norm,md_excess_heat_capacity_trimer,md_avg_max_heavy_atom_dist,md_avg_max_heavy_atom_dist_norm,md_avg_variance,md_avg_auc_fit_at_zero_cross,md_average_lifetime_ps,total_bonds_analyzed,md_avg_hbonds_per_frame,md_avg_hbonds_per_frame_norm,rdf_Br-Br,rdf_Br-C,rdf_Br-O,rdf_C-C,rdf_C-Cl,rdf_C-F,rdf_C-N,rdf_C-O,rdf_C-P,rdf_C-S,rdf_Cl-Cl,rdf_Cl-N,rdf_Cl-O,rdf_F-F,rdf_F-N,rdf_F-O,rdf_N-N,rdf_N-O,rdf_N-P,rdf_N-S,rdf_O-O,rdf_O-P,rdf_O-S,rdf_S-S,trimer_MW,trimer_num_atoms,replicate_structure,distribution,smiles_polymer,mechanism
0,Nc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C(c%12ccc%13c(c%12)C(=O)N(c%12ccc(Oc%14ccc(Oc%15ccc(N%16C(=O)c%17ccc(C(c%18ccc%19c(c%18)C(=O)OC%19=O)(C(F)(F)F)C(F)(F)F)cc%17C%16=O)cc%15)c(-c%15ccccc%15)c%14)cc%12)C%13=O)(C(F)(F)F)C(F)(F)F)cc%11C%10=O)cc9)c(-c9ccccc9)c8)cc6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2-c2ccccc2)cc1,Nc1ccc(Oc2ccc(Oc3ccc(N)cc3)c(-c3ccccc3)c2)cc1.O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,ae1bc72eb46f46599ef09430dc6f09e9,1.294785,11.594099999999989,0.0674075581395348,113.359602,0.659067453488372,1.4275749999999845,0.0082998546511627,1.3549759999999889,0.0078777674418604,0.072599,36.23729999999999,0.210681976744186,111821.1,5.774504,12.85,197670.0,12.699999999999983,0.0738372093023255,,,,0.458518,,0.725488,0.53186,0.774498,,,,,,0.657961,0.825615,1.194853,0.614472,0.788853,,,0.987634,,,,2346.4251819159995,172,0,,Nc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C(c%12ccc%13c(c%12)C(=O)N(c%12ccc(Oc%14ccc(Oc%15ccc(N%16C(=O)c%17ccc(C(c%18ccc%19c(c%18)C(=O)OC%19=O)(C(F)(F)F)C(F)(F)F)cc%17C%16=O)cc%15)c(-c%15ccccc%15)c%14)cc%12)C%13=O)(C(F)(F)F)C(F)(F)F)cc%11C%10=O)cc9)c(-c9ccccc9)c8)cc6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2-c2ccccc2)cc1,todo
1,Nc1ccc(-c2ccc(Oc3ccc([C@]4(c5ccc(Oc6ccc(-c7ccc(NNc8ccc(-c9ccc(Oc%10ccc([C@]%11(c%12ccc(Oc%13ccc(-c%14ccc(NC(=O)c%15cc(C(=O)O)c(C(=O)O)cc%15C(=O)Nc%15ccc(-c%16ccc(Oc%17ccc([C@]%18(c%19ccc(Oc%20ccc(-c%21ccc(NC(=O)c%22cc(C(=O)O)c(C(=O)O)cc%22C(=O)C(=O)c%22cc(C(=O)O)c(C(=O)O)cc%22C(=O)O)cc%21)cc%20C(F)(F)F)cc%19)c%19ccccc%19C(=O)N%18c%18ccccc%18)cc%17)c(C(F)(F)F)c%16)cc%15)cc%14)cc%13C(F)(F)F)cc%12)c%12ccccc%12C(=O)N%11c%11ccccc%11)cc%10)c(C(F)(F)F)c9)cc8)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O.Nc1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,50a15b54a983bc27741ef6fa709f9d4c,1.246136,10.6209,0.0440701244813278,147.245422,0.6109768547717842,2.1819529999999987,0.0090537468879668,2.002955999999984,0.0083110207468879,0.178997,35.5365,0.147454356846473,112805.2,5.618137,14.71,369826.0,27.189999999999984,0.1128215767634854,,,,0.349106,,0.671139,0.411857,0.694267,,,,,,1.082182,0.683615,1.02701,0.444279,0.829215,,,1.227732,,,,3261.740761936,241,0,,Nc1ccc(-c2ccc(Oc3ccc([C@]4(c5ccc(Oc6ccc(-c7ccc(NNc8ccc(-c9ccc(Oc%10ccc([C@]%11(c%12ccc(Oc%13ccc(-c%14ccc(NC(=O)c%15cc(C(=O)O)c(C(=O)O)cc%15C(=O)Nc%15ccc(-c%16ccc(Oc%17ccc([C@]%18(c%19ccc(Oc%20ccc(-c%21ccc(NC(=O)c%22cc(C(=O)O)c(C(=O)O)cc%22C(=O)C(=O)c%22cc(C(=O)O)c(C(=O)O)cc%22C(=O)O)cc%21)cc%20C(F)(F)F)cc%19)c%19ccccc%19C(=O)N%18c%18ccccc%18)cc%17)c(C(F)(F)F)c%16)cc%15)cc%14)cc%13C(F)(F)F)cc%12)c%12ccccc%12C(=O)N%11c%11ccccc%11)cc%10)c(C(F)(F)F)c9)cc8)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,todo
2,NCCCCCCCCCCNNCCCCCCCCCCNC(=O)CCCCC(=O)NCCCCCCCCCCNC(=O)CCCCC(=O)C(=O)CCCCC(=O)O,O=C(O)CCCCC(=O)O.NCCCCCCCCCCN,6a807bc0b0576a5e40ebc283d38f5e53,1.015697,7.635999999999996,0.1251803278688524,72.035502,1.1809098688524589,1.0997899999999952,0.018029344262295,0.8695259999999979,0.0142545245901639,0.230264,24.0186,0.3937475409836065,141328.2,5.074142,14.31,701326.0,50.19,0.8227868852459016,,,,0.449578,,,0.594423,0.972302,,,,,,,,,1.025507,1.54658,,,1.162731,,,,864.7027492840001,61,0,,NCCCCCCCCCCNNCCCCCCCCCCNC(=O)CCCCC(=O)NCCCCCCCCCCNC(=O)CCCCC(=O)C(=O)CCCCC(=O)O,todo
3,Nc1ccc(Oc2ccc(NNc3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(/C=C7/CC/C(=C\c8ccc(N9C(=O)c%10ccc(C(=O)Nc%11ccc(Oc%12ccc(NC(=O)c%13ccc%14c(c%13)C(=O)N(c%13ccc(/C=C%15/CC/C(=C\c%16ccc(N%17C(=O)c%18ccc(C(=O)C(=O)c%19ccc%20c(c%19)C(=O)N(c%19ccc(/C=C%21\CC/C(=C/c%22ccc(N%23C(=O)c%24ccc(C(=O)O)cc%24C%23=O)cc%22)C%21=O)cc%19)C%20=O)cc%18C%17=O)cc%16)C%15=O)cc%13)C%14=O)cc%12)cc%11)cc%10C9=O)cc8)C7=O)cc5)C6=O)cc4)cc3)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1.O=C1C(=Cc2ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc2)CCC1=Cc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,5912c4e5a938d0859b1574ad47e4b5ed,1.255572,15.974699999999997,0.0868190217391304,191.231634,1.0393023586956522,1.762402999999992,0.009578277173913,1.534578999999988,0.0083401032608695,0.227824,48.9069,0.2657983695652174,125861.5,5.926294,13.36,227150.0,15.18,0.0825,,,,0.64963,,,0.657677,0.971172,,,,,,,,,0.65622,0.996117,,,1.286735,,,,2424.629656443999,184,0,,Nc1ccc(Oc2ccc(NNc3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(/C=C7/CC/C(=C\c8ccc(N9C(=O)c%10ccc(C(=O)Nc%11ccc(Oc%12ccc(NC(=O)c%13ccc%14c(c%13)C(=O)N(c%13ccc(/C=C%15/CC/C(=C\c%16ccc(N%17C(=O)c%18ccc(C(=O)C(=O)c%19ccc%20c(c%19)C(=O)N(c%19ccc(/C=C%21\CC/C(=C/c%22ccc(N%23C(=O)c%24ccc(C(=O)O)cc%24C%23=O)cc%22)C%21=O)cc%19)C%20=O)cc%18C%17=O)cc%16)C%15=O)cc%13)C%14=O)cc%12)cc%11)cc%10C9=O)cc8)C7=O)cc5)C6=O)cc4)cc3)cc2)cc1,todo
4,C=C(CCCCCC)C[C@H](CCCCCC)CCCCCCCC,C=CCCCCCC,fb85734d0c714910f1a1a2a79b9fd851,0.804717,5.191699999999999,0.2163208333333333,29.667943,1.2361642916666666,0.391887,0.016328625,0.3478789999999992,0.0144949583333333,0.044008,17.0733,0.7113875,113198.2,5.343247,0.0,0.0,0.0,0.0,,,,0.434296,,,,,,,,,,,,,,,,,,,,,336.375601536,24,0,,C=C(CCCCCC)C[C@H](CCCCCC)CCCCCCCC,todo
5,C=C(C[C@H](CCc1ccccc1C(=O)Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,C=Cc1ccccc1C(=O)Oc1ccccc1,cc080ca49cbef5e2116550ccdfee8ea7,1.159581,4.998499999999999,0.0980098039215686,58.765709,1.1522688039215687,0.4805829999999962,0.0094231960784313,0.462701999999999,0.0090725882352941,0.017881,16.294999999999998,0.3195098039215686,122889.8,5.495438,0.0,0.0,0.0,0.0,,,,0.557609,,,,0.556302,,,,,,,,,,,,,0.452826,,,,672.251188872,51,0,,C=C(C[C@H](CCc1ccccc1C(=O)Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,todo
6,C=C(C[C@@H](CCOC(=O)c1ccc(Cl)cc1)OC(=O)c1ccc(Cl)cc1)OC(=O)c1ccc(Cl)cc1,C=COC(=O)c1ccc(Cl)cc1,b532c74b24ae613618930703c7a1fdfd,1.30951,5.501099999999998,0.1528083333333333,49.752556,1.3820154444444444,0.370233,0.01028425,0.3044029999999968,0.0084556388888888,0.06583,16.2908,0.4525222222222222,103561.3,5.138674,0.0,0.0,0.0,0.0,,,,0.625282,1.134046,,,0.651558,,,1.510607,,1.173254,,,,,,,,0.653234,,,,546.0403714319999,36,0,,C=C(C[C@@H](CCOC(=O)c1ccc(Cl)cc1)OC(=O)c1ccc(Cl)cc1)OC(=O)c1ccc(Cl)cc1,todo
7,Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc(C%11(c%12ccc(Oc%13ccc(N%14C(=O)c%15ccc(C(=O)c%16ccc%17c(c%16)C(=O)N(c%16ccc(Oc%18ccc(C%19(c%20ccc(Oc%21ccc(N%22C(=O)c%23ccc(C(=O)c%24ccc%25c(c%24)C(=O)OC%25=O)cc%23C%22=O)cc%21)cc%20)c%20ccccc%20Oc%20ccccc%20%19)cc%18)cc%16)C%17=O)cc%15C%14=O)cc%13)cc%12)c%12ccccc%12Oc%12ccccc%12%11)cc%10)cc8)C9=O)cc7C6=O)cc5)cc4)c4ccccc4Oc4ccccc43)cc2)cc1,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O.Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N)cc5)cc4)c4ccccc4Oc4ccccc43)cc2)cc1,225457466371227e6994449b60c7681d,1.214633,13.5494,0.0702041450777202,122.282618,0.6335886943005181,1.639639999999985,0.0084955440414507,1.572392999999999,0.0081471139896373,0.067247,42.76319999999999,0.2215709844559585,118286.7,5.181225,12.83,115964.0,7.439999999999988,0.0385492227979274,,,,0.528406,,,0.567253,0.833519,,,,,,,,,0.639667,0.751554,,,1.041349,,,,2520.611212443999,193,0,,Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc(C%11(c%12ccc(Oc%13ccc(N%14C(=O)c%15ccc(C(=O)c%16ccc%17c(c%16)C(=O)N(c%16ccc(Oc%18ccc(C%19(c%20ccc(Oc%21ccc(N%22C(=O)c%23ccc(C(=O)c%24ccc%25c(c%24)C(=O)OC%25=O)cc%23C%22=O)cc%21)cc%20)c%20ccccc%20Oc%20ccccc%20%19)cc%18)cc%16)C%17=O)cc%15C%14=O)cc%13)cc%12)c%12ccccc%12Oc%12ccccc%12%11)cc%10)cc8)C9=O)cc7C6=O)cc5)cc4)c4ccccc4Oc4ccccc43)cc2)cc1,todo
8,CC(C)(c1ccc(Oc2cccc(N)c2)cc1)c1ccc(Oc2cccc(NNc3cccc(Oc4ccc(C(C)(C)c5ccc(Oc6cccc(NC(=O)c7ccc8c(c7)C(=O)N(c7ccc(C9(c%10ccc(N%11C(=O)c%12ccc(C(=O)Nc%13cccc(Oc%14ccc(C(C)(C)c%15ccc(Oc%16cccc(NC(=O)c%17ccc%18c(c%17)C(=O)N(c%17ccc(C%19(c%20ccc(N%21C(=O)c%22ccc(C(=O)C(=O)c%23ccc%24c(c%23)C(=O)N(c%23ccc(C%25(c%26ccc(N%27C(=O)c%28ccc(C(=O)O)cc%28C%27=O)cc%26)c%26ccccc%26-c%26ccccc%26%25)cc%23)C%24=O)cc%22C%21=O)cc%20)c%20ccccc%20-c%20ccccc%20%19)cc%17)C%18=O)c%16)cc%15)cc%14)c%13)cc%12C%11=O)cc%10)c%10ccccc%10-c%10ccccc%109)cc7)C8=O)c6)cc5)cc4)c3)c2)cc1,CC(C)(c1ccc(Oc2cccc(N)c2)cc1)c1ccc(Oc2cccc(N)c2)cc1.O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(C(=O)O)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,4bfb79e77133026f149540852110988d,1.18722,13.17659999999999,0.0533465587044534,166.947509,0.6759008461538462,2.2294429999999963,0.0090260850202429,2.290368999999988,0.0092727489878542,,42.74309999999999,0.173048987854251,121547.5,5.568503,12.89,98606.0,6.349999999999976,0.0257085020242914,,,,0.451318,,,0.503362,0.738714,,,,,,,,,0.621078,0.778998,,,0.960915,,,,3229.00525798,247,0,,CC(C)(c1ccc(Oc2cccc(N)c2)cc1)c1ccc(Oc2cccc(NNc3cccc(Oc4ccc(C(C)(C)c5ccc(Oc6cccc(NC(=O)c7ccc8c(c7)C(=O)N(c7ccc(C9(c%10ccc(N%11C(=O)c%12ccc(C(=O)Nc%13cccc(Oc%14ccc(C(C)(C)c%15ccc(Oc%16cccc(NC(=O)c%17ccc%18c(c%17)C(=O)N(c%17ccc(C%19(c%20ccc(N%21C(=O)c%22ccc(C(=O)C(=O)c%23ccc%24c(c%23)C(=O)N(c%23ccc(C%25(c%26ccc(N%27C(=O)c%28ccc(C(=O)O)cc%28C%27=O)cc%26)c%26ccccc%26-c%26ccccc%26%25)cc%23)C%24=O)cc%22C%21=O)cc%20)c%20ccccc%20-c%20ccccc%20%19)cc%17)C%18=O)c%16)cc%15)cc%14)c%13)cc%12C%11=O)cc%10)c%10ccccc%10-c%10ccccc%109)cc7)C8=O)c6)cc5)cc4)c3)c2)cc1,todo
9,NCCCCCC(=O)C(=O)CCCCCCCCCCNC(=O)CCCCCNC(=O)CCCCCCCCCCNC(=O)CCCCCNNCCCCCCCCCCC(=O)O,NCCCCCC(=O)O.NCCCCCCCCCCC(=O)O,662576d63012985b20d5df52d87f8069,1.01241,7.0699,0.1104671875,71.146566,1.11166509375,1.265553,0.019774265625,0.948054,0.01481334375,0.317499,22.3149,0.3486703125,143022.5,5.218579,14.46,612272.0,44.27,0.69171875,,,,0.403045,,,0.625614,0.954747,,,,,,,,,1.176843,1.543,,,1.457117,,,,906.749699476,64,0,,NCCCCCC(=O)C(=O)CCCCCCCCCCNC(=O)CCCCCNC(=O)CCCCCCCCCCNC(=O)CCCCCNNCCCCCCCCCCC(=O)O,todo
10,O=C=NC[C@H]1CCC[C@H](CNC(=O)OCCCCOC(=O)NC[C@H]2CCC[C@@H](CNC(=O)OCCCCOC(=O)NC[C@H]3CCC[C@@H](CNC(=O)OCCCCO)C3)C2)C1,OCCCCO.O=C=NCC1CCCC(CN=C=O)C1,d64fbe3d6189afc5c3577459631d4bb7,1.141898,6.706099999999998,0.1117683333333333,60.80976900000001,1.0134961500000002,0.888378,0.0148063,0.6990879999999959,0.0116514666666666,0.18929,20.9412,0.34902,152658.9,4.996065,16.48,331058.0,27.28,0.4546666666666666,,,,0.445379,,,0.537418,0.795026,,,,,,,,,0.625605,0.906141,,,0.846445,,,,852.5208217439999,60,0,,O=C=NC[C@H]1CCC[C@H](CNC(=O)OCCCCOC(=O)NC[C@H]2CCC[C@@H](CNC(=O)OCCCCOC(=O)NC[C@H]3CCC[C@@H](CNC(=O)OCCCCO)C3)C2)C1,todo
11,Nc1cccc(Oc2ccc(NNc3ccc(Oc4cccc(NC(=O)CCCCCN5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(CCCCCC(=O)Nc7ccc(Oc9cccc(NC(=O)CCCCCN%10C(=O)c%11ccc(C(=O)c%12ccc%13c(c%12)C(=O)N(CCCCCC(=O)C(=O)CCCCCN%12C(=O)c%14ccc(C(=O)c%15ccc%16c(c%15)C(=O)N(CCCCCC(=O)O)C%16=O)cc%14C%12=O)C%13=O)cc%11C%10=O)c9)cc7)C8=O)cc6C5=O)c4)cc3)cc2)c1,Nc1ccc(Oc2cccc(N)c2)cc1.O=C(O)CCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCC(=O)O)C4=O)cc2C1=O,1b3385a5e8c4a4880d0a1ab18d8bcc99,1.232722,9.9095,0.061934375,124.912444,0.780702775,2.103147,0.01314466875,1.482728999999984,0.0092670562499999,0.620418,31.614,0.1975875,134544.8,5.03866,13.14,187593.0,12.330000000000002,0.0770625,,,,0.449225,,,0.431623,0.762144,,,,,,,,,0.467875,0.735273,,,0.920207,,,,2154.7705070199986,160,0,,Nc1cccc(Oc2ccc(NNc3ccc(Oc4cccc(NC(=O)CCCCCN5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(CCCCCC(=O)Nc7ccc(Oc9cccc(NC(=O)CCCCCN%10C(=O)c%11ccc(C(=O)c%12ccc%13c(c%12)C(=O)N(CCCCCC(=O)C(=O)CCCCCN%12C(=O)c%14ccc(C(=O)c%15ccc%16c(c%15)C(=O)N(CCCCCC(=O)O)C%16=O)cc%14C%12=O)C%13=O)cc%11C%10=O)c9)cc7)C8=O)cc6C5=O)c4)cc3)cc2)c1,todo
12,C[C@@](c1ccccc1)(c1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(c9ccc(Oc%11ccc(Oc%12ccc(N%13C(=O)c%14ccc(C(=O)Nc%15ccc(Oc%16ccc([C@](C)(c%17ccccc%17)c%17ccc(Oc%18ccc(NNc%19ccc(Oc%20ccc([C@](C)(c%21ccccc%21)c%21ccc(Oc%22ccc(N)cc%22)cc%21)cc%20)cc%19)cc%18)cc%17)cc%16)cc%15)cc%14C%13=O)cc%12C(F)(F)F)cc%11)c(C(F)(F)F)c9)C%10=O)cc8C7=O)cc6C(F)(F)F)cc5)c(C(F)(F)F)c3)C4=O)cc2)cc1)c1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(c9ccc(Oc%11ccc(Oc%12ccc(N%13C(=O)c%14ccc(C(=O)C(=O)c%15ccc%16c(c%15)C(=O)N(c%15ccc(Oc%17ccc(Oc%18ccc(N%19C(=O)c%20ccc(Oc%21ccc%22c(c%21)C(=O)N(c%21ccc(Oc%23ccc(Oc%24ccc(N%25C(=O)c%26ccc(C(=O)O)cc%26C%25=O)cc%24C(F)(F)F)cc%23)c(C(F)(F)F)c%21)C%22=O)cc%20C%19=O)cc%18C(F)(F)F)cc%17)c(C(F)(F)F)c%15)C%16=O)cc%14C%13=O)cc%12C(F)(F)F)cc%11)c(C(F)(F)F)c9)C%10=O)cc8C7=O)cc6C(F)(F)F)cc5)c(C(F)(F)F)c3)C4=O)cc2)cc1,CC(c1ccccc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1.O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(Oc%10ccc(N%11C(=O)c%12ccc(C(=O)O)cc%12C%11=O)cc%10C(F)(F)F)cc9)c(C(F)(F)F)c7)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O,a3a5e0582ab6f433884cd57ff652f093,1.281538,15.762299999999996,0.0371752358490566,192.435773,0.4538579551886793,3.882728999999986,0.0091573797169811,3.419846999999978,0.0080656768867924,0.462882,51.6857,0.1219002358490566,113901.1,5.808363,11.75,87345.0,5.129999999999964,0.0120990566037735,,,,0.413134,,0.725159,0.46138,0.647885,,,,,,1.096391,0.579713,0.955753,0.548131,0.691403,,,0.90293,,,,5761.110613792001,424,0,,C[C@@](c1ccccc1)(c1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(c9ccc(Oc%11ccc(Oc%12ccc(N%13C(=O)c%14ccc(C(=O)Nc%15ccc(Oc%16ccc([C@](C)(c%17ccccc%17)c%17ccc(Oc%18ccc(NNc%19ccc(Oc%20ccc([C@](C)(c%21ccccc%21)c%21ccc(Oc%22ccc(N)cc%22)cc%21)cc%20)cc%19)cc%18)cc%17)cc%16)cc%15)cc%14C%13=O)cc%12C(F)(F)F)cc%11)c(C(F)(F)F)c9)C%10=O)cc8C7=O)cc6C(F)(F)F)cc5)c(C(F)(F)F)c3)C4=O)cc2)cc1)c1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(c9ccc(Oc%11ccc(Oc%12ccc(N%13C(=O)c%14ccc(C(=O)C(=O)c%15ccc%16c(c%15)C(=O)N(c%15ccc(Oc%17ccc(Oc%18ccc(N%19C(=O)c%20ccc(Oc%21ccc%22c(c%21)C(=O)N(c%21ccc(Oc%23ccc(Oc%24ccc(N%25C(=O)c%26ccc(C(=O)O)cc%26C%25=O)cc%24C(F)(F)F)cc%23)c(C(F)(F)F)c%21)C%22=O)cc%20C%19=O)cc%18C(F)(F)F)cc%17)c(C(F)(F)F)c%15)C%16=O)cc%14C%13=O)cc%12C(F)(F)F)cc%11)c(C(F)(F)F)c9)C%10=O)cc8C7=O)cc6C(F)(F)F)cc5)c(C(F)(F)F)c3)C4=O)cc2)cc1,todo
13,C=C(C[C@@H](CCc1ccc(CCCCCCCCC)cc1)c1ccc(CCCCCCCCC)cc1)c1ccc(CCCCCCCCC)cc1,C=Cc1ccc(CCCCCCCCC)cc1,45c441dbc1dc046227f73228343b5070,0.929262,7.500299999999998,0.1470647058823529,63.24057100000002,1.2400111960784317,0.8924529999999976,0.0174990784313725,0.6701719999999953,0.0131406274509803,0.222281,25.1904,0.4939294117647059,128810.8,5.238131,0.0,0.0,0.0,0.0,,,,0.510279,,,,,,,,,,,,,,,,,,,,,690.610352496,51,0,,C=C(C[C@@H](CCc1ccc(CCCCCCCCC)cc1)c1ccc(CCCCCCCCC)cc1)c1ccc(CCCCCCCCC)cc1,todo
